"samaccountname","passwordlastset","passwordneverexpires"
"ecruz","23/08/2017 12:20:17","False"
"rogduarte","23/03/2020 07:29:27","False"
"con-abmoreira","22/01/2019 07:00:21","False"
"salencar","12/03/2020 09:52:00","False"
"scassiano","20/02/2020 16:11:45","False"
"mamsoares","19/03/2020 07:48:56","False"
"toliveira","12/03/2020 14:58:56","False"
"isilva","24/03/2020 14:18:55","False"
"LVeiga","24/03/2020 11:24:39","False"
"jcnascimento","01/03/2020 07:31:49","True"
"lrsilva","20/02/2020 17:43:45","False"
"pinacio","12/02/2020 10:51:25","False"
"cjlopes","16/03/2020 08:48:30","False"
"jemediato","06/03/2020 15:59:13","False"
"AlRocha","20/02/2020 10:53:38","False"
"rperes","16/03/2020 09:06:33","False"
"ffsantos","23/03/2020 06:51:16","False"
"fcamelo","04/03/2020 07:36:05","False"
"hcarreiro","23/10/2019 10:07:36","False"
"gabriela.costa","12/03/2020 09:15:21","False"
"gislene.agostinho","06/03/2020 09:28:56","False"
"edgar.rocha","18/03/2020 19:15:38","False"
"ijunior",,"False"
"ruan.souza",,"False"
"rebeca.mello","12/02/2020 13:31:39","False"
"paula.feliciano","19/03/2020 09:49:08","False"
"rofilho",,"False"
"con-monica.nacao","12/03/2020 14:52:46","False"
"ana.santos","17/03/2020 09:34:05","False"
"mariana.possas","13/03/2020 07:28:10","False"
"lbrandao","20/02/2020 19:31:42","False"
"simey.souza","17/03/2020 16:26:44","False"
"SegInfo","01/11/2016 11:02:08","False"
"compras_corporativo","13/05/2015 15:29:31","False"
"Attender","05/07/2005 17:05:04","False"
"portalti","11/05/2007 10:34:00","False"
"_ecapex","14/07/2008 12:21:58","False"
"tz0Cycle","06/05/2019 11:20:14","False"
"fai","14/05/2007 09:57:16","False"
"vasilhame","21/01/2010 10:45:06","False"
"teste_spl","19/02/2007 10:46:19","False"
"Central_Recife","07/03/2007 15:47:54","False"
"mis_desenv","14/10/2009 09:45:18","False"
"SmartMail","29/06/2009 10:12:11","False"
"precos","05/08/2009 16:16:27","False"
"MIS_SHV","22/08/2006 11:16:42","False"
"treinamento.seginfo","24/06/2019 11:59:17","True"
"GoodAdmin","23/07/2009 15:32:17","False"
"comtodoogas","13/06/2014 07:58:48","False"
"tstportal","21/12/2007 10:11:16","False"
"WPSBind","22/03/2006 15:32:58","False"
"WPSAdmin","22/03/2006 15:31:05","False"
"sidney.silva","28/02/2020 11:43:36","True"
"fimenezes","23/03/2020 07:47:17","False"
"psilveira","09/03/2020 08:57:58","False"
"andre.silva","01/08/2019 21:34:35","False"
"con-thayna.lisboa","17/02/2020 07:03:05","False"
"jrogedo",,"False"
"csaturnino","16/03/2020 10:53:11","False"
"con-lbezerra","09/03/2020 09:03:31","False"
"msalmeida",,"False"
"tainara.pereira","23/03/2020 10:23:17","False"
"gbarros",,"False"
"leonardo.rodrigues","17/03/2020 14:06:40","False"
"ana.ferreira","22/03/2020 12:55:34","False"
"flferreira",,"False"
"ewerton.cardoso","06/03/2020 11:16:37","False"
"juan.santos","19/03/2020 09:54:56","False"
"anelise.menezes","27/02/2020 07:57:48","True"
"eliel.lirio",,"False"
"allan.sousa","21/02/2020 11:55:38","False"
"josimoes",,"False"
"cesar.caranjo","09/03/2020 12:17:12","False"
"victor.caixeta","26/02/2020 08:50:32","True"
"rafael.b.silva","02/03/2020 07:56:46","False"
"luiz.andrade",,"False"
"nibatista",,"False"
"cristiano.pereira","09/03/2020 06:27:11","False"
"fernando.ferraro","20/03/2020 11:00:13","False"
"cecilia.azevedo","10/03/2020 16:08:37","False"
"lucas.viana",,"False"
"daraujo",,"False"
"brena.almeida","20/03/2020 11:54:48","False"
"ribamar.caianello","23/03/2020 15:15:37","False"
"thayane.silva","12/03/2020 14:02:23","False"
"dnarcizo",,"False"
"jose.ronaldo",,"False"
"rperrut","19/12/2019 08:57:22","False"
"lsica","27/02/2020 10:28:18","True"
"joanna.barreiros","16/03/2020 10:50:29","False"
"con-gflores","12/03/2020 08:04:50","False"
"mcarossi",,"False"
"yuri.aparecido",,"False"
"kcosta",,"False"
"diego.jesus",,"False"
"leonardo.castro","20/03/2020 08:03:36","False"
"mofilho",,"False"
"barbara.oliveira","24/02/2020 08:12:12","True"
"otlima",,"False"
"matheus.souza",,"False"
"con-renan.souza","18/03/2020 14:18:17","False"
"gleydson.galdino",,"False"
"habarros","17/02/2020 07:25:14","False"
"andre.lira",,"False"
"frantchesco.assink","17/03/2020 14:16:38","False"
"camila.viana","18/03/2020 14:38:02","False"
"diego.giacomoni","23/03/2020 08:20:16","False"
"con-fernanda.santos","14/11/2019 13:49:29","False"
"carlos.dias",,"False"
"wecardoso",,"False"
"rlcavalcante","19/03/2020 15:09:57","False"
"marco.biazollo",,"False"
"andreza.lacerda","19/03/2020 07:32:20","False"
"telcinea.fontes","28/02/2020 09:51:21","True"
"luana.gomes","19/03/2020 17:07:16","False"
"lucas.marinho","20/02/2020 14:51:42","False"
"NaGrevet","17/03/2020 11:41:10","False"
"jorge.conceicao",,"False"
"thamires.marques","11/02/2020 09:06:01","False"
"armartins","06/03/2020 13:57:07","False"
"con-leonardo.oli","19/03/2020 06:40:47","False"
"flavia.castro","26/02/2020 07:21:24","True"
"giovanna.siqueira","12/03/2020 11:21:47","False"
"snepomuceno","23/03/2020 11:57:34","False"
"reborges","27/03/2020 07:55:02","False"
"gximenes","17/03/2020 06:39:52","False"
"a.pinheiro","26/03/2020 07:10:59","False"
"rgsouza","06/03/2020 14:19:17","False"
"con-bbsilva","09/08/2019 07:26:51","False"
"andre.almeida","19/03/2020 10:40:47","False"
"rapribeiro","05/03/2020 13:10:34","False"
"con-romulo.lima","27/03/2020 08:21:44","False"
"caasilva","16/03/2020 06:38:36","False"
"_treinamento30","18/01/2018 14:28:02","False"
"_treinamento32","18/01/2018 14:28:04","False"
"_treinamento21","18/01/2018 14:27:50","False"
"_treinamento12","18/01/2018 14:27:38","False"
"_treinamento26","18/01/2018 14:27:56","False"
"_treinamento20","18/01/2018 14:27:48","False"
"_treinamento06","18/01/2018 14:27:30","False"
"_treinamento01","18/01/2018 14:27:17","False"
"_treinamento17","18/01/2018 14:27:44","False"
"_treinamento34","18/01/2018 14:28:07","False"
"_treinamento33","18/01/2018 14:28:06","False"
"_treinamento31","18/01/2018 14:28:03","False"
"_treinamento10","18/01/2018 14:27:35","False"
"_treinamento16","18/01/2018 14:27:43","False"
"_treinamento08","18/01/2018 14:27:32","False"
"_treinamento23","18/01/2018 14:27:52","False"
"_treinamento13","18/01/2018 14:27:39","False"
"_treinamento29","18/01/2018 14:28:00","False"
"_treinamento11","18/01/2018 14:27:36","False"
"_treinamento07","18/01/2018 14:27:31","False"
"_treinamento15","18/01/2018 14:27:42","False"
"_treinamento03","18/01/2018 14:27:25","False"
"_treinamento27","18/01/2018 14:27:58","False"
"_treinamento05","18/01/2018 14:27:28","False"
"_treinamento04","18/01/2018 14:27:27","False"
"_treinamento19","18/01/2018 14:27:47","False"
"_treinamento22","18/01/2018 14:27:51","False"
"_treinamento28","18/01/2018 14:27:59","False"
"_treinamento18","18/01/2018 14:27:46","False"
"_treinamento25","18/01/2018 14:27:55","False"
"_treinamento24","18/01/2018 14:27:54","False"
"_treinamento14","18/01/2018 14:27:41","False"
"_treinamento02","18/01/2018 14:27:24","False"
"_treinamento09","18/01/2018 14:27:34","False"
"alan.rosario",,"False"
"con-melody.borges","12/02/2020 11:08:43","False"
"con-beatriz.palmeira","14/02/2020 08:02:19","False"
"leandro.rita",,"False"
"con-augusto.carpes","20/02/2020 08:06:58","False"
"camilla.carmo","06/03/2020 08:30:37","False"
"milson.jaques",,"False"
"carolaine.freitas","19/03/2020 13:49:12","False"
"agbarros","09/03/2020 13:15:28","False"
"tiago.werneck",,"False"
"eduardo.nascimento","26/03/2020 15:37:01","False"
"nemoliveira","17/03/2020 06:46:17","False"
"everton.doro","23/03/2020 12:11:43","False"
"eduardo.neto","20/02/2020 13:16:55","False"
"robson.ferrao",,"False"
"leticia.alves","19/03/2020 13:31:10","False"
"zelandia.freire","19/02/2020 07:36:55","False"
"adilson.silva","02/03/2020 17:02:59","False"
"antonio.c.oliveira","20/03/2020 13:55:28","False"
"maria.moura","19/03/2020 16:36:45","False"
"con-maciej.jedryszek","03/03/2020 10:34:08","False"
"con-szymon.slipek","03/03/2020 10:36:27","False"
"diogo.n.silva","26/03/2020 15:02:10","False"
"william.gama",,"False"
"debora.lima","24/03/2020 09:08:24","False"
"mikael.oliveira",,"False"
"con-leticia.dias",,"False"
"douglas.i.santos",,"False"
"charles.rosa",,"False"
"tainara.mattos","17/03/2020 07:31:05","False"
"jaime.tavares",,"False"
"edilson.junior",,"False"
"lucas.alves",,"False"
"anna.oliveira","17/02/2020 17:11:52","False"
"con-gabriel.dorneles",,"False"
"joelma.bento","28/02/2020 07:15:27","True"
"ffroes",,"False"
"con-marcelo.carvalho","13/03/2020 09:41:35","False"
"anderson.paz",,"False"
"dcosmo",,"False"
"anallya.santos","09/03/2020 08:09:30","False"
"lpedro","27/02/2020 08:53:51","True"
"delson.santos",,"False"
"amasantos","03/02/2020 09:59:28","False"
"diego.d.santos",,"False"
"jacson.santos","06/02/2020 13:17:26","False"
"everton.klement","17/02/2020 08:30:02","False"
"Lmateus","27/02/2020 10:01:50","True"
"con-pedro.lenci","17/03/2020 08:35:11","False"
"antonio.ferreira","17/03/2020 09:59:21","False"
"gisele.silva","05/03/2020 07:16:18","False"
"con-alice.barros",,"False"
"gabriel.maion","16/03/2020 07:53:22","False"
"con-bruna.silva","12/03/2020 13:01:18","False"
"octavio.freitas","19/02/2020 08:28:32","False"
"abaptista","27/02/2020 08:34:24","True"
"joao.velasco",,"False"
"con-rosemari.silva","15/01/2020 09:14:47","False"
"leonardo.sobrera",,"False"
"con-hellen.brito","18/03/2020 13:53:10","False"
"jackson.emiliano",,"False"
"roberto.filho",,"False"
"emerson.rocha",,"False"
"leolima","06/02/2020 13:48:11","False"
"wicorreia","16/03/2020 13:11:02","False"
"dasilva",,"False"
"con-thiago.paz","16/03/2020 08:22:18","False"
"con-eder.ferreira","05/03/2020 15:06:08","False"
"sylvia.melo","17/03/2020 08:58:24","False"
"landrade","02/05/2019 11:32:22","False"
"con-otavio.almeida","13/03/2020 08:36:01","False"
"andre.portugal","27/02/2020 14:44:57","True"
"con-anderson.calazan","11/03/2020 11:16:50","False"
"larissa.cordeiro","23/03/2020 12:30:31","False"
"MPetrulis","13/02/2020 08:59:49","False"
"aldo.pereira","27/02/2020 16:01:15","False"
"renato.klaus","17/02/2020 07:20:14","False"
"vinicius.ferreira","27/02/2020 08:26:36","True"
"jean.alves",,"False"
"pbrandao","16/03/2020 10:03:05","False"
"con-lucas.is","10/03/2020 10:56:29","False"
"moises.oliveira",,"False"
"mbevilacqua","09/03/2020 09:02:49","False"
"nilson.furtado","03/03/2020 07:51:28","False"
"con-ingrid.paixao","26/02/2020 07:56:01","True"
"cesar.almeida","05/03/2020 14:43:27","False"
"con-lucas.ziliotti","06/03/2020 10:45:58","False"
"alisson.lobato","11/03/2020 09:08:29","False"
"con-braulio.jo",,"False"
"a.filho",,"False"
"con-andrielly.silva","12/03/2020 08:06:22","False"
"rafael.araujo","04/03/2020 14:45:15","False"
"jose.aguiar",,"False"
"guilherme.moreira","20/02/2020 10:43:07","False"
"con-bsrodrigues","16/03/2020 15:56:16","False"
"luiza.vitoriano","13/03/2020 09:11:42","False"
"lilith.venancio","10/02/2020 10:00:08","False"
"con-dduarte","17/06/2019 08:28:41","False"
"jose.junior",,"False"
"lucas.v.silva",,"False"
"rodrigo.thomazini","26/02/2020 10:04:37","True"
"renan.r.silva","18/02/2020 06:07:16","False"
"tatiana.goncalves","20/02/2020 07:12:39","False"
"jaoliveira",,"False"
"con-gabriel.oliveir",,"False"
"everton.grespan","02/03/2020 08:11:41","False"
"romildo.gomes",,"False"
"asa",,"False"
"gabriela.barreto","12/02/2020 16:55:00","False"
"wanderson.m.silva",,"False"
"ansouza",,"False"
"juliana.anjos","10/02/2020 10:59:25","False"
"msabino","24/03/2020 15:59:05","False"
"maciel.junior","09/03/2020 10:14:06","False"
"referreira",,"False"
"artur.carvalho","27/03/2020 10:34:19","False"
"con-katlen.stracka","16/03/2020 13:29:27","False"
"wialmeida",,"False"
"danilo.silva","16/03/2020 08:13:34","False"
"lufilho",,"False"
"daniel.a.silva",,"False"
"ljneves","27/02/2020 08:56:58","True"
"adlima","15/01/2020 11:47:16","False"
"gsilveira",,"False"
"matheus.ramos","27/02/2020 12:27:04","True"
"mmguimaraes","20/03/2020 15:59:35","False"
"deusantos",,"False"
"jopinto",,"False"
"shvnfe","15/01/2009 16:52:24","True"
"shvnfe-hml","20/08/2009 11:29:51","True"
"con-philipe.santos",,"False"
"vasantos",,"False"
"lucunha",,"False"
"juliana.nascimento","24/03/2020 11:07:23","False"
"luteixeira",,"False"
"con-francisco.rod","11/03/2020 09:06:53","False"
"marco.silva",,"False"
"eudo.souza",,"False"
"madsilva","02/03/2020 04:55:49","False"
"luferreira",,"False"
"rafleite",,"False"
"rrocha",,"False"
"lsa",,"False"
"con-mgsouza","19/03/2020 12:13:33","False"
"wellington.souza",,"False"
"testevnc","06/05/2019 10:10:46","False"
"ecandido",,"False"
"walbertoni","17/03/2020 11:28:57","False"
"edmar.silva","03/03/2020 07:55:51","False"
"cjunqueira",,"False"
"uoliveira",,"False"
"leonam.silva",,"False"
"con-ausilva","06/03/2020 08:52:08","False"
"jofreitas",,"False"
"clesilva","17/03/2020 07:35:19","False"
"valmir.machado","12/03/2020 11:33:40","False"
"andre.lima","25/03/2020 16:17:16","False"
"fafreitas",,"False"
"gmatias",,"False"
"caio.souza",,"False"
"julio.pinheiro",,"False"
"renata.costa","15/02/2020 08:04:53","False"
"mbastos",,"False"
"mlemos",,"False"
"cesar.conte","04/03/2020 11:39:32","False"
"robison.silva",,"False"
"con-fguimaraes","06/02/2020 10:38:53","False"
"con-prosetti","17/05/2018 11:11:22","False"
"aasilveira","16/03/2020 17:11:22","False"
"con-rlsilva",,"False"
"rflima","16/03/2020 17:07:16","False"
"asassaki","27/02/2020 08:50:34","True"
"pmcosta","27/02/2020 10:32:39","True"
"SHV_SCCMSRV","23/07/2009 15:32:21","True"
"teste_ad","04/04/2008 11:25:56","False"
"EAdmin","23/07/2009 15:32:15","False"
"infra","10/11/2009 11:06:49","True"
"san","27/05/2009 12:13:17","False"
"OuvidoriaCAT","06/05/2019 10:42:39","False"
"gsoliveira","17/03/2020 08:33:05","False"
"responderusn","04/11/2009 16:21:52","False"
"juliana.guimaraes","02/03/2020 10:34:00","False"
"con-rrcosta","19/03/2020 07:59:35","False"
"teste_portal","05/08/2009 10:08:55","False"
"con-rcarvalho","18/12/2018 09:26:25","False"
"dsbastos","20/02/2020 14:37:44","False"
"apaiva","23/03/2020 11:30:30","False"
"con-lfspereira","12/02/2019 11:30:11","False"
"_lumis2","10/12/2010 11:43:48","False"
"vroalves","20/02/2020 08:50:34","False"
"rjribeiro","07/04/2016 11:16:02","False"
"con-mcpinheiro","09/04/2019 14:28:50","False"
"marrferreira","16/03/2020 16:24:32","False"
"cmelo","18/02/2020 18:00:13","False"
"con-fcarlos","10/12/2019 11:03:26","False"
"mghedini","17/02/2020 11:21:30","False"
"con-msakane","09/07/2019 09:11:32","False"
"AGoncalves","04/03/2020 18:10:39","False"
"LBrouck","23/03/2020 09:24:40","False"
"con-fmatos","15/06/2018 12:13:10","False"
"amsouza","16/03/2020 09:05:52","False"
"MALima","13/03/2020 18:17:07","False"
"PMello","03/03/2020 08:21:48","False"
"abarreto","26/03/2020 09:14:14","False"
"con-pccosta",,"False"
"con-vqueiroz","25/04/2019 13:01:41","False"
"con-sncordeiro","15/04/2019 15:48:44","False"
"con-nneto","18/02/2019 09:19:51","False"
"con-lcramos","15/02/2019 14:36:09","False"
"pfigueiredo","19/03/2020 08:47:53","False"
"raoliveira","10/02/2020 09:16:55","True"
"con-misilva","22/03/2019 15:59:29","False"
"con-sralves","06/05/2019 06:57:42","False"
"con-acoliveira","11/02/2019 08:37:20","False"
"con-agomes","06/05/2019 08:09:03","False"
"con-dyegros","14/06/2017 15:29:15","False"
"caasantos","17/03/2020 08:40:00","False"
"lvsilva","19/03/2020 19:38:07","False"
"con-jvieira","27/05/2016 08:40:11","False"
"rcsantos","27/03/2020 14:47:54","True"
"eamartins","25/03/2020 18:20:09","False"
"con-pcunha","04/03/2020 13:23:51","False"
"con-wgigliozzi","27/03/2020 14:13:01","False"
"con-ayousef","18/02/2020 08:49:15","False"
"con-dboaventura",,"False"
"con-vsantos","06/06/2019 10:57:50","False"
"con-jfsouza","13/11/2019 10:41:03","False"
"con-fsartori",,"False"
"domarques","26/03/2020 14:47:30","False"
"con-fscarlos",,"False"
"con-mvtakechi","17/10/2019 12:18:59","False"
"lmribeiro","03/03/2020 09:36:47","False"
"con-smoliveira","22/11/2017 13:32:46","False"
"con-mbonvechio","30/01/2017 08:43:14","False"
"con-fjoliveira","03/04/2019 09:50:55","False"
"con-agimenez","27/03/2020 10:58:21","False"
"con-lpaula","12/04/2019 18:23:03","False"
"con-amaris","17/09/2018 17:32:51","False"
"con-fjsiqueira","20/02/2019 08:49:47","False"
"con-dgomes","29/04/2019 15:00:51","False"
"con-vecosta","22/10/2018 11:33:01","False"
"con-lateixeira","22/10/2018 15:42:27","False"
"con-rscabral","01/04/2019 10:40:25","False"
"con-aherszenhaut",,"False"
"con-jtsilva","21/01/2020 17:22:24","False"
"con-dsoares","11/01/2019 10:38:55","False"
"con-etorres",,"False"
"con-jmonteiro",,"False"
"con-rbbarros",,"False"
"con-jmaciel","25/03/2020 14:27:44","False"
"con-lgmelo",,"False"
"con-djsilva","05/04/2019 15:07:37","False"
"con-rbeccari",,"False"
"isamaral","20/02/2020 09:53:09","False"
"con-rdonald","05/03/2020 10:34:54","False"
"drhede","09/03/2020 09:55:18","False"
"cmiranda","23/03/2020 07:41:17","False"
"anarodrigues","05/03/2020 14:51:18","False"
"rsoares","16/03/2020 08:24:18","False"
"ecmsantos","19/03/2020 12:05:31","False"
"cgalves","27/03/2020 12:54:30","False"
"con-jfranco","25/02/2019 09:28:41","False"
"mtlopes","27/02/2020 09:21:36","True"
"pcosta","21/02/2020 09:50:52","False"
"VVedovelo","19/03/2020 16:11:39","False"
"OMello","09/03/2020 09:23:15","False"
"lramos","03/03/2020 10:05:53","False"
"con-scpinheiro","16/07/2019 18:15:55","False"
"acarvalho","02/03/2020 10:00:41","False"
"mrferreira","21/02/2020 11:28:03","False"
"ldayer","09/03/2020 10:17:31","False"
"con-birodrigues","19/11/2018 12:56:59","False"
"con-ralima",,"False"
"arcorrea","16/03/2020 08:25:35","False"
"csilva","12/03/2020 09:04:51","False"
"con-pvsilveira","24/04/2019 09:18:40","False"
"frrodrigues","18/03/2019 13:29:15","False"
"rsa","01/07/2019 08:53:38","False"
"con-lbrandao","17/05/2019 18:00:24","False"
"lantunes","18/03/2020 19:24:53","False"
"herocha","28/02/2020 09:18:44","True"
"flavia.silva","20/03/2020 15:54:56","False"
"ldutra",,"False"
"ricardo.barros","29/02/2020 09:45:10","True"
"gfukuya","09/03/2020 13:15:18","False"
"hglopes",,"False"
"marcones.silva",,"False"
"sacunha",,"False"
"floliveira",,"False"
"ropereira",,"False"
"valderic.soares",,"False"
"jneto",,"False"
"anderson.paula",,"False"
"con-lucas.caetano","12/03/2020 16:07:24","False"
"jvincula",,"False"
"matheus.pereira",,"False"
"margareth.silva","12/03/2020 13:46:34","False"
"phnunes",,"False"
"anamaral",,"False"
"jessica.dutra","03/03/2020 14:26:10","False"
"savio.oliveira","26/02/2020 08:34:07","True"
"rogerio.lopes","19/02/2020 11:09:14","False"
"con-marcos.moura",,"False"
"ronascimento",,"False"
"jkades",,"False"
"amandio.filho","12/03/2020 08:29:53","False"
"romario.jesus","24/02/2020 08:52:27","True"
"teste.comercial",,"False"
"aijunior",,"False"
