"SamAccountName","userAccountControl","LastLogonDate","whenCreated","homeMDB"
"mcastro","514",,"23/05/2017 11:08:37","CN=BRRJSHVGASDESATIVADODB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mbrito","512","25/07/2019 12:18:29","25/07/2006 14:19:47","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mberocha","544","25/07/2019 10:28:43","12/12/2018 11:25:05","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mbevilacqua","512","16/07/2019 17:21:33","23/09/2006 21:40:41","CN=BRRJSHVGASGEJQDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mbmendes","514","03/06/2019 09:04:36","31/08/2006 16:32:26","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mbaptista","512","25/07/2019 08:58:33","11/12/2008 08:52:47","CN=BRRJSHVGASCOCDDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mbarros","512","22/07/2019 11:34:04","11/03/2016 15:31:31","CN=BRRJSHVGASGEEIDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mbbruno","514","04/10/2018 11:58:26","04/12/2012 18:01:35","CN=BRRJSHVGASDESATIVADODB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"MBomfim","512","21/07/2019 15:43:43","17/07/2006 16:00:02","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mbrandao","514","22/04/2019 08:54:58","28/04/2017 09:04:46","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mbranquinho","512","22/07/2019 08:04:13","01/08/2011 15:00:04","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mbrasil","514","30/05/2014 08:29:01","28/07/2006 12:19:50","CN=BRRJSHVGASDESATIVADODB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mborges","512","25/07/2019 07:10:09","03/06/2014 16:52:26","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mbraga","512","22/07/2019 12:26:10","03/11/2015 14:04:36","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mbranco","512","18/07/2019 07:05:46","31/03/2017 14:47:58","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"marcos.souza2","512",,"13/07/2019 02:07:45",
"marcos.u.santos","512",,"13/07/2019 00:23:39",
"marcos.vargas","512",,"13/07/2019 02:50:36","CN=BRRJSHVGASHORCDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"marcos.nascimento","512",,"13/07/2019 02:37:28","CN=BRRJSHVGASHORCDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"marcos.santos2","512",,"13/07/2019 00:07:23",
"marcos.silva1","512",,"13/07/2019 04:14:52",
"marcos.vieira","512","18/07/2019 15:09:55","14/06/2019 12:03:34","CN=BRRJSHVGASHORCDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"marezende","544","14/07/2019 11:45:42","30/11/2018 10:51:16","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"margarida.souza","512",,"13/07/2019 04:03:03","CN=BRRJSHVGASHORCDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"MArgolo","512","25/07/2019 09:09:03","20/07/2006 17:51:41","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"marcos.virgens","512",,"13/07/2019 00:00:21",
"marcus.costa","512",,"13/07/2019 02:12:56",
"marcus.jesus","512",,"13/07/2019 03:16:27",
"marcos.mello","512",,"13/07/2019 02:30:42",
"marcio.souza","512",,"13/07/2019 01:31:24",
"marco.a.alves","512",,"13/07/2019 02:25:13",
"marco.conde","512",,"13/07/2019 02:47:47",
"marcio.g.lima","512",,"13/07/2019 04:12:29",
"marcio.reis","512",,"13/07/2019 00:07:25","CN=BRRJSHVGASHORCDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"marcio.silva1","512",,"13/07/2019 01:41:29",
"marco.dorneles","512",,"13/07/2019 02:06:58",
"marcos.a.santos","512",,"13/07/2019 01:43:41",
"marcos.almeida","512",,"13/07/2019 04:16:00",
"marcos.brodt","512",,"13/07/2019 01:31:26",
"marco.pires","512",,"13/07/2019 00:11:54",
"marco.vicente","512",,"13/07/2019 01:03:16",
"marcos.a.oliveira","512",,"13/07/2019 01:52:48",
"maria.almeida","512",,"13/07/2019 03:21:28","CN=BRRJSHVGASHORCDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"marsilva","512","16/07/2019 10:07:43","19/12/2017 09:22:39","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"martsantos","514","12/01/2017 07:23:42","03/09/2012 09:34:19","CN=BRRJSHVGASDESATIVADODB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"maryelle.leao","512","25/07/2019 09:12:04","02/07/2019 12:09:40","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"marmoreira","512","17/07/2019 14:06:32","08/09/2006 22:16:10","CN=BRRJSHVGASCOMQDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"marodrigues","514","29/10/2018 06:55:13","09/12/2016 15:22:21","CN=BRRJSHVGASDESATIVADODB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"marrferreira","512","25/07/2019 09:04:48","30/08/2012 10:05:35","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"masantos","514","02/05/2018 11:03:54","03/04/2014 16:59:20","CN=BRRJSHVGASDESATIVADODB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"matdiniz","514","29/05/2019 08:58:11","26/07/2017 16:37:46","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"Matella","514","01/06/2019 09:49:07","19/07/2007 10:24:20","CN=BRRJSHVGASCOABDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mateus.ribeiro","512",,"19/07/2019 12:09:00",
"masilva","512","17/07/2019 20:48:28","12/05/2015 17:35:36","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"masoliveira","512","16/07/2019 09:08:15","03/08/2017 16:29:29","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"masouza","512","15/07/2019 15:52:35","10/11/2015 14:23:19","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"marlucia.sales","512",,"13/07/2019 02:48:59","CN=BRRJSHVGASHORCDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mariana.lima","512",,"13/07/2019 01:43:21","CN=BRRJSHVGASHORCDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"maribeiro","512","21/07/2019 18:56:07","29/12/2016 09:35:27","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"marihelly.anselmo","512",,"13/07/2019 03:39:21","CN=BRRJSHVGASHORCDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"maria.rodrigues","512",,"13/07/2019 01:33:54","CN=BRRJSHVGASHORCDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mariana.ferreira","512",,"13/07/2019 03:14:31","CN=BRRJSHVGASHORCDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mariana.guimaraes","512",,"13/07/2019 01:26:15","CN=BRRJSHVGASHORCDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"marina.alves","512",,"13/07/2019 00:30:57",
"marisouza","544","25/07/2019 08:42:26","29/03/2019 14:38:00","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"Marketing_Informa","66048","24/05/2010 12:20:20","24/05/2010 11:30:49","CN=BRRJSHVGASERVICODB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"marlima","512","25/07/2019 06:43:40","18/04/2013 23:55:01","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"marinaldo.f.silva","512",,"13/07/2019 02:30:39",
"mario.teixeira","512",,"13/07/2019 01:14:08",
"MariSantos","512","09/07/2019 20:00:38","23/09/2006 21:43:45","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mcgrodrigues","514","06/06/2019 07:37:21","18/03/2010 12:35:02","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mipalves","512","22/07/2019 07:18:53","06/10/2010 10:24:06","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"miqueias.eloy","512",,"13/07/2019 03:54:59",
"MIS","66048","14/05/2019 09:28:45","30/05/2005 09:03:05","CN=BRRJSHVGASERVICODB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"milima","514","24/02/2016 13:05:10","15/03/2010 09:51:03","CN=BRRJSHVGASDESATIVADODB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"milson.jaques","512",,"05/06/2019 18:09:39",
"MiMarques","512","18/07/2019 11:07:48","23/09/2006 21:42:05","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mis_desenv","512","07/05/2009 10:32:37","14/10/2008 12:58:21",
"mjcarvalho","512","19/07/2019 21:20:21","11/07/2011 21:03:18","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mjcoelho","512","24/07/2019 08:50:46","17/02/2010 09:36:22","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mjesus","512","24/07/2019 17:18:17","19/08/2014 11:38:24","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"MIS_SHV","512","12/02/2019 16:03:54","17/11/2005 11:18:59",
"Mjacobs","512","23/07/2019 11:48:30","08/08/2006 23:51:29","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mjacomini","514","28/05/2018 06:45:43","17/01/2017 13:45:37","CN=BRRJSHVGASDESATIVADODB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"Milhasgas","66048",,"20/12/2005 14:29:48","CN=BRRJSHVGASUCBBDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mhonorato","512","22/07/2019 07:47:23","27/05/2015 17:10:17","CN=BRRJSHVGASUCMMDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
"mhsilva","512","22/07/2019 08:27:03","03/08/2006 14:52:14","CN=BRRJSHVGASGEJQDB,CN=Databases,CN=Exchange Administrative Group (FYDIBOHF23SPDLT),CN=Administrative Groups,CN=SHVWORLDWIDE,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=shv,DC=net"
